,pop,cwd,ppt,pck,str,tmx,tmn,el,season_length
13,TM2,650.8030887,1133.288862,0,10847.52814,22.77661247,9.605447188,379.1526973,7.798924731
4,IH,579.7039016,1057.617235,2.267642231,4997.599598,22.2165582,8.574417354,454.1298385,7.640860215
1,BH,898.5574776,576.3721967,0,4219.748961,23.52325203,8.709430906,511.4294422,6.723025584
17,WV,517.6426017,1010.435858,314.2461776,6931.313704,19.39186988,5.009512195,748.8570558,6.937873357
5,KC2,989.9821153,786.148945,4.844552792,4120.580799,20.90395658,8.588455277,947.928,7.448275862
3,DPR,323.1311374,1442.132929,109.4204882,11885.84906,20.20579945,7.69853659,1018.591893,4.490322581
10,SHA,599.0613807,1597.106339,1013.120569,3296.221253,17.89596206,4.610704602,1302.956416,5.64516129
14,WL1,678.2800816,1227.877479,694.4684563,4492.316425,17.21609755,4.27542006,1613.837245,6.243010753
11,SQ1,873.3567479,927.1681296,622.9607314,1793.416814,15.69170731,3.530921391,1921.036585,5.486095662
15,WL2,637.1443098,1233.466016,1661.095768,2999.496558,14.54579948,2.454498649,2020.115818,4.967741935
16,WL3,577.2404883,1224.858375,1923.453658,5648.500077,13.81574527,1.901436309,2137.762877,4.806451613
18,YO1,618.6492682,1074.688778,1374.743666,5298.823769,14.83132787,2.222710025,2140.505943,5.129032258
2,CP2,743.1004906,1249.300893,2387.09228,5193.891548,13.40501355,1.042574532,2244.132886,5.35483871
8,LV3,677.9156916,1739.877478,4972.359333,4763.482316,11.11967478,-1.588319788,2353.550747,4.741935484
12,SQ3,717.2077247,1028.765531,1470.843906,1606.680832,13.49054202,1.125311663,2372.447425,4.419354839
7,LV2,572.7708146,1721.455282,4946.349766,8152.048782,11.30582659,-1.44479676,2500.457178,4.741935484
6,LV1,586.4905688,1754.21756,5158.257486,3517.195943,11.17170729,-1.609593501,2593.416641,4.709677419
9,LVTR,612.0259349,1813.578051,5297.887721,2903.989062,11.06864499,-1.781626032,2741.38982,4.709677419
20,YO11,672.299594,786.3394309,2118.389345,3257.954272,10.53520324,-2.840298107,2872.295032,5.64516129
19,YO10,681.7170744,861.9984566,2413.974802,3202.314594,10.05631437,-3.283035244,2968.302347,5.483870968
